Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S5542:  ""Use secure mode and padding scheme.""",BLOCKER,,Key: AXaPGVuj8LKHpH7XnENx Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/encryption/EncryptionHelpers.java - startLine: 23;startOffset: 47;endOffset: 69;endLine: 23,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AXaPGVp_8LKHpH7XnEMc Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 243;startOffset: 67;endOffset: 78;endLine: 243,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2755:  ""Disable access to external entities in XML parsing.""",BLOCKER,15min,Key: AXaPGVyU8LKHpH7XnEOr Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/context/XmlConfigurationStrategy.java - startLine: 95;startOffset: 64;endOffset: 75;endLine: 95,Security (Vulnerabilities)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1A8LKHpH7XnEQ_ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PageTextWriterTest.java - startLine: 46;startOffset: 16;endOffset: 50;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1A8LKHpH7XnERA Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PageTextWriterTest.java - startLine: 51;startOffset: 16;endOffset: 39;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGVzW8LKHpH7XnEPZ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ImagesToPdfDocumentConverter.java - startLine: 65;startOffset: 44;endOffset: 67;endLine: 65,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGVyl8LKHpH7XnEOy Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SplitByOutlineLevelTask.java - startLine: 71;startOffset: 23;endOffset: 50;endLine: 71,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGV0W8LKHpH7XnEQu Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SplitByPageNumbersTask.java - startLine: 70;startOffset: 23;endOffset: 50;endLine: 70,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGV0Q8LKHpH7XnEQo Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SplitBySizeTask.java - startLine: 68;startOffset: 23;endOffset: 50;endLine: 68,Reliability (Bugs)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVwn8LKHpH7XnEOS Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/test/java/org/sejda/core/service/PdfToMultipleJpegTaskTest.java - startLine: 48;startOffset: 16;endOffset: 47;endLine: 48,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGVz38LKHpH7XnEP7 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfMixFragment.java - startLine: 103;startOffset: 44;endOffset: 96;endLine: 103,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PDDocumentHandler in a finally clause.""",BLOCKER,5min,Key: AXaPGV0k8LKHpH7XnEQ3 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/ExtractByOutlineTask.java - startLine: 57;startOffset: 23;endOffset: 50;endLine: 57,Reliability (Bugs)
