Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S5869:  "Remove duplicates in this character class.",MAJOR,5min,Key: AXa4rSj5mS6twzPegF-0 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/processor/TimestampPrefixProcessor.java - startLine: 36;startOffset: 62;endOffset: 63;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXazhxw-p6dsLT12ycDO Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SplitByOutlineLevelTask.java,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXazhx63p6dsLT12ycDR Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SplitByPageNumbersTask.java,Maintenance (Code Smells)
To-Do,New,Normal,java:S1186:  "Add a nested comment explaining why this method is empty throw an UnsupportedOperationException or complete the implementation.",CRITICAL,5min,Key: AXazQicGJFFFYAYro1cP Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/ExtractByOutlineTask.java - startLine: 75;startOffset: 16;endOffset: 21;endLine: 75,Maintenance (Code Smells)
To-Do,New,Normal,xml:S125:  "Remove this commented out code.",MAJOR,5min,Key: AXaPGV128LKHpH7XnERd Path: 2020-mmqs-main-java--org.sejda:sejda-parent:pom.xml - startLine: 294;startOffset: 2;endOffset: 31;endLine: 297,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'PDAnnotationWidget.class::cast'.",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPH Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 267;startOffset: 68;endOffset: 70;endLine: 267,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with a method reference.",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPI Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 273;startOffset: 59;endOffset: 61;endLine: 273,Maintenance (Code Smells)
To-Do,New,Normal,java:S1602:  "Remove useless curly braces around statement and then remove useless return keyword",MINOR,5min,Key: AXaPGVp_8LKHpH7XnEMg Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 179;startOffset: 63;endOffset: 64;endLine: 179,Maintenance (Code Smells)
To-Do,New,Normal,java:S2139:  "Either log this exception and handle it or rethrow it with some contextual information.",MAJOR,15min,Key: AXaPGVp_8LKHpH7XnEMh Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 200;startOffset: 17;endOffset: 28;endLine: 200,Maintenance (Code Smells)
To-Do,New,Normal,java:S2139:  "Either log this exception and handle it or rethrow it with some contextual information.",MAJOR,15min,Key: AXaPGVp_8LKHpH7XnEMj Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 235;startOffset: 17;endOffset: 28;endLine: 235,Maintenance (Code Smells)
To-Do,New,Normal,java:S2629:  "Invoke method(s) only conditionally. Use the built-in formatting to construct this argument.",MAJOR,5min,Key: AXaPGVp_8LKHpH7XnEMe Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 284;startOffset: 25;endOffset: 250;endLine: 286,Maintenance (Code Smells)
To-Do,New,Normal,java:S3457:  "Format specifiers should be used instead of string concatenation.",MAJOR,10min,Key: AXaPGVp_8LKHpH7XnEMk Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 284;startOffset: 16;endOffset: 251;endLine: 286,Maintenance (Code Smells)
